VenueID,Venue,City
1,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2,Eden Gardens,Kolkata
3,Wankhede Stadium,Mumbai
4,Brabourne Stadium,Mumbai
5,Dr DY Patil Sports Academy,Mumbai
6,Maharashtra Cricket Association Stadium,Pune
7,Dubai International Cricket Stadium,Dubai
8,Sharjah Cricket Stadium,Sharjah
9,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi
10,Arun Jaitley Stadium,Delhi
11,MA Chidambaram Stadium,Chennai
12,Sheikh Zayed Stadium,Abu Dhabi
13,Rajiv Gandhi International Stadium,Hyderabad
14,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
15,Punjab Cricket Association Stadium,Chandigarh
16,M Chinnaswamy Stadium,Bengaluru
17,Sawai Mansingh Stadium,Jaipur
18,Holkar Cricket Stadium,Indore
19,Green Park,Kanpur
20,Saurashtra Cricket Association Stadium,Rajkot
21,Shaheed Veer Narayan Singh International Stadium,Raipur
22,JSCA International Stadium Complex,Ranchi
23,"Sardar Patel Stadium, Motera",Ahmedabad
24,Barabati Stadium,Cuttack
25,Subrata Roy Sahara Stadium,Pune
26,Himachal Pradesh Cricket Association Stadium,Dharamsala
27,Nehru Stadium,Kochi
28,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
29,New Wanderers Stadium,Johannesburg
30,SuperSport Park,Centurion
31,Kingsmead,Durban
32,OUTsurance Oval,Bloemfontein
33,St George's Park,Port Elizabeth
34,De Beers Diamond Oval,Kimberley
35,Buffalo Park,East London
36,Newlands,Cape Town
